Year,EventName,Driver,GridPosition,LapTime,LapNumber,Stint,Compound,LapPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2024,Emilia Romagna Grand Prix,NOR,2,1.21.735,13,1,MEDIUM,2,25,49,1006.8,FALSE,39.8,99,2.3
2024,Austrian Grand Prix,NOR,2,1.11.004,15,1,MEDIUM,2,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Bahrain Grand Prix,ALB,13,1.38.660,8,1,SOFT,11,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Spanish Grand Prix,SAI,6,1.21.620,12,1,SOFT,5,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Spanish Grand Prix,LEC,5,1.21.561,12,1,SOFT,6,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Emilia Romagna Grand Prix,LEC,3,1.21.442,13,1,MEDIUM,3,25,49,1006.8,FALSE,39.8,99,2.3
2024,Bahrain Grand Prix,MAG,15,1.39.172,8,1,SOFT,12,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Dutch Grand Prix,BOT,16,1.17.841,12,1,SOFT,14,19.1,58,1020,FALSE,31.3,230,6
2024,Dutch Grand Prix,RIC,13,1.17.614,12,1,MEDIUM,15,19.1,58,1020,FALSE,31.3,230,6
2024,Bahrain Grand Prix,ZHO,17,1.39.646,8,1,SOFT,13,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Miami Grand Prix,SAR,17,1.39.392,11,1,MEDIUM,16,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Miami Grand Prix,MAG,18,1.35.152,11,1,HARD,17,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Bahrain Grand Prix,SAR,18,1.39.580,8,1,SOFT,14,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Dutch Grand Prix,OCO,15,1.17.678,12,1,MEDIUM,16,19.1,58,1020,FALSE,31.3,230,6
2024,Austrian Grand Prix,RUS,3,1.11.471,15,1,MEDIUM,3,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Spanish Grand Prix,GAS,7,1.21.638,12,1,SOFT,7,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Miami Grand Prix,RIC,20,1.34.931,11,1,HARD,18,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Emilia Romagna Grand Prix,SAI,4,1.21.747,13,1,MEDIUM,4,25,49,1006.8,FALSE,39.8,99,2.3
2024,Bahrain Grand Prix,RIC,14,1.39.529,8,1,SOFT,15,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Bahrain Grand Prix,OCO,19,1.39.422,8,1,SOFT,16,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Emilia Romagna Grand Prix,PIA,5,1.21.888,13,1,MEDIUM,5,25,49,1006.8,FALSE,39.8,99,2.3
2024,Spanish Grand Prix,PIA,9,1.21.683,12,1,SOFT,8,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Bahrain Grand Prix,GAS,20,1.39.287,8,1,SOFT,17,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Austrian Grand Prix,SAI,4,1.11.572,15,1,MEDIUM,4,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Miami Grand Prix,BOT,16,1.39.656,11,1,SOFT,19,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Bahrain Grand Prix,STR,12,1.38.857,8,1,SOFT,18,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Hungarian Grand Prix,PIA,2,1.23.887,13,1,MEDIUM,1,28.9,48,981.5,FALSE,42.9,291,0.7
2024,Bahrain Grand Prix,BOT,16,1.38.968,8,1,SOFT,19,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Dutch Grand Prix,SAR,18,1.17.600,12,1,MEDIUM,17,19.1,58,1020,FALSE,31.3,230,6
2024,Emilia Romagna Grand Prix,RUS,6,1.21.867,13,1,MEDIUM,6,25,49,1006.8,FALSE,39.8,99,2.3
2024,Austrian Grand Prix,HAM,5,1.11.664,15,1,MEDIUM,5,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Dutch Grand Prix,ALB,19,1.20.841,12,1,MEDIUM,18,19.1,58,1020,FALSE,31.3,230,6
2024,Spanish Grand Prix,OCO,8,1.21.905,12,1,SOFT,9,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Dutch Grand Prix,MAG,0,1.17.659,12,1,HARD,19,19.1,58,1020,FALSE,31.3,230,6
2024,Emilia Romagna Grand Prix,HAM,8,1.21.767,13,1,MEDIUM,7,25,49,1006.8,FALSE,39.8,99,2.3
2024,Austrian Grand Prix,PIA,7,1.11.665,15,1,MEDIUM,6,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Hungarian Grand Prix,NOR,1,1.24.343,13,1,MEDIUM,2,28.9,48,981.5,FALSE,42.9,291,0.7
2024,Spanish Grand Prix,PER,11,1.21.983,12,1,SOFT,10,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Australian Grand Prix,BOT,13,1.23.161,10,2,HARD,18,20.7,44,1020.7,FALSE,38.8,158,1.3
2024,Dutch Grand Prix,ZHO,17,1.18.114,12,1,MEDIUM,20,19.1,58,1020,FALSE,31.3,230,6
2024,Austrian Grand Prix,PER,8,1.11.798,15,1,MEDIUM,7,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Hungarian Grand Prix,VER,3,1.24.769,13,1,MEDIUM,3,28.9,48,981.5,FALSE,42.9,291,0.7
2024,Hungarian Grand Prix,HAM,5,1.24.700,13,1,MEDIUM,4,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Miami Grand Prix,ALB,14,1.47.913,11,2,HARD,20,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Hungarian Grand Prix,LEC,6,1.24.642,13,1,MEDIUM,5,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Spanish Grand Prix,HUL,13,1.27.477,12,1,SOFT,11,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Spanish Grand Prix,STR,14,1.22.256,12,1,SOFT,12,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Austrian Grand Prix,OCO,10,1.12.178,15,1,MEDIUM,8,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Austrian Grand Prix,GAS,13,1.12.089,15,1,MEDIUM,9,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Spanish Grand Prix,ALO,10,1.21.050,12,1,SOFT,13,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Canadian Grand Prix,NOR,3,1.23.569,45,2,INTERMEDIATE,1,18.2,76,996.1,FALSE,25.9,52,0.6
2024,Emilia Romagna Grand Prix,PER,11,1.22.359,13,1,HARD,8,25,50,1006.6,FALSE,40.1,143,1.3
2024,Belgian Grand Prix,HAM,3,1.49.951,10,1,MEDIUM,1,21.4,49,978,FALSE,43.3,36,2.2
2024,Hungarian Grand Prix,SAI,4,1.24.989,13,1,MEDIUM,6,28.9,47,981.5,FALSE,44.1,189,1.3
2024,British Grand Prix,RUS,1,1.31.639,10,1,MEDIUM,1,16.8,62,991.9,FALSE,25.6,231,1.7
2024,Austrian Grand Prix,TSU,14,1.12.329,15,1,MEDIUM,10,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Belgian Grand Prix,LEC,1,1.49.963,10,1,MEDIUM,2,21.4,49,978,FALSE,43.3,36,2.2
2024,Emilia Romagna Grand Prix,HUL,10,1.26.982,13,1,MEDIUM,9,25,50,1006.6,FALSE,40.1,143,1.3
2024,Emilia Romagna Grand Prix,STR,13,1.22.577,13,1,MEDIUM,10,25,50,1006.6,FALSE,40.1,143,1.3
2024,British Grand Prix,HAM,2,1.31.515,10,1,MEDIUM,2,16.8,60,991.9,FALSE,25.4,243,2
2024,Spanish Grand Prix,RIC,18,1.21.857,12,1,SOFT,14,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Austrian Grand Prix,STR,17,1.12.369,15,1,MEDIUM,11,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Belgian Grand Prix,PER,2,1.50.057,10,1,MEDIUM,3,21.4,49,978,FALSE,43.3,36,2.2
2024,Emilia Romagna Grand Prix,OCO,12,1.22.907,13,1,MEDIUM,11,25,50,1006.6,FALSE,40.1,143,1.3
2024,British Grand Prix,VER,4,1.31.661,10,1,MEDIUM,3,16.8,60,991.9,FALSE,25.4,243,2
2024,Austrian Grand Prix,BOT,18,1.12.191,15,1,MEDIUM,12,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Belgian Grand Prix,PIA,5,1.50.045,10,1,MEDIUM,4,21.4,49,978,FALSE,43.3,36,2.2
2024,Spanish Grand Prix,ALB,0,1.22.119,12,1,MEDIUM,15,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,British Grand Prix,NOR,3,1.31.830,10,1,MEDIUM,4,16.8,60,991.9,FALSE,25.4,243,2
2024,Emilia Romagna Grand Prix,MAG,18,1.22.955,13,1,MEDIUM,12,25,50,1006.6,FALSE,40.1,143,1.3
2024,Spanish Grand Prix,SAR,19,1.22.461,12,1,SOFT,16,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Australian Grand Prix,SAI,2,1.21.938,11,1,MEDIUM,1,20.8,44,1020.6,FALSE,38.9,120,0.6
2024,British Grand Prix,PIA,5,1.31.811,10,1,MEDIUM,5,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,SAI,7,1.50.182,10,1,HARD,5,21.4,49,978,FALSE,43.3,36,2.2
2024,Hungarian Grand Prix,STR,8,1.25.366,13,1,SOFT,7,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Belgian Grand Prix,NOR,4,1.50.334,10,1,MEDIUM,6,21.4,49,978,FALSE,43.3,36,2.2
2024,Hungarian Grand Prix,TSU,10,1.25.314,13,1,MEDIUM,8,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Austrian Grand Prix,ZHO,20,1.12.239,15,1,HARD,13,29.6,33,932.8,FALSE,48.2,1,1.5
2024,British Grand Prix,SAI,7,1.32.362,10,1,MEDIUM,6,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,RUS,6,1.54.652,10,1,MEDIUM,7,21.4,49,977.9,FALSE,43.3,40,1.9
2024,Emilia Romagna Grand Prix,ZHO,17,1.23.067,13,1,HARD,13,25,50,1006.6,FALSE,40.1,143,1.3
2024,Canadian Grand Prix,VER,2,1.40.612,45,2,INTERMEDIATE,2,18.4,74,996.2,FALSE,26.1,4,0.8
2024,Australian Grand Prix,NOR,3,1.22.936,11,1,MEDIUM,2,20.8,44,1020.6,FALSE,38.9,120,0.6
2024,Austrian Grand Prix,HUL,9,1.11.117,15,2,HARD,14,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Hungarian Grand Prix,BOT,12,1.25.277,13,1,MEDIUM,9,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Emilia Romagna Grand Prix,SAR,19,1.23.581,13,1,HARD,14,25,50,1006.6,FALSE,40.1,143,1.3
2024,Belgian Grand Prix,VER,11,1.54.655,10,1,MEDIUM,8,21.4,49,977.9,FALSE,43.3,40,1.9
